vote_average,vote_count,revenue,budget,popularity,runtimecat,adult
0.6408,0.00487027105377591,0.0002168809761453685,0.07608494801075656,0.0032601323088729903,4,0
0.53,0.00037686621249456443,0.013338896931526498,0.04347618146995972,0.0017920374891838213,8,0
0.0,0.0,1.675955664619089e-05,0.002171743851617069,0.0002003769089657646,16,0
0.63,0.000927670676909697,0.0018055795482290217,0.006519579390389979,0.0006098137262858103,16,0
0.5271,0.004493404841281345,0.009645675178998033,0.013041332698549346,0.004102049288044144,16,0
0.6070000000000001,0.0037396724162922163,0.03920647533887025,0.16738949432498768,0.0029094727181829022,5,0
0.6668000000000001,0.08627337295260182,0.08578857742812528,0.14130248109235022,0.00809055166100769,2,0
0.7933,0.25389186838672273,0.06269970922846442,0.04021530481588004,0.016433912188827185,4,0
0.7418,0.15071749528917233,0.07555086578012403,0.43478137995952165,0.016124997787504963,3,0
0.52,0.000927670676909697,0.006498261565734299,0.012823940921610702,0.001160850225941663,7,0
0.6492,0.2104362951152341,0.1295706956177733,0.11956330339848567,0.01949233174267464,2,0
0.75,0.0013625163067111175,0.004104039187707029,0.006519579390389979,0.001748956453756182,6,0
0.5672,0.003507754747064792,0.000271395709534208,0.02934571596894776,0.0025741753571801892,1,0
1.0,2.8989708653428032e-05,1.8999864728487832e-06,7.34132030721806e-06,0.0003109181704118781,5,0
0.664,0.02284389041890129,0.0016796239553339947,0.0015195685208011325,0.0031475872783372195,1,0
0.6723,0.005189157848963618,0.016747315329203802,0.019563086006708714,0.0033259227273167496,3,0
0.6436000000000001,0.007276416872010436,0.0010257532731005401,0.04347618146995972,0.003795472617326525,3,0
0.6364000000000001,0.05009421655312364,0.05341373825719175,0.06956319470259718,0.009387658185046072,4,0
0.6324000000000001,0.15683432381504567,0.10269725308465506,0.34782466918406346,0.015208607390501533,4,0
0.7129,0.15312364110740687,0.049420759862934274,0.015215250467935803,0.007593616926772593,3,0
0.45999999999999996,0.00023191766922742426,0.0004442992670082033,0.0018891345415968299,0.0006191646487042127,6,0
0.6294,0.038266415422525006,0.055731998115736044,0.17391124763314705,0.005888075469958993,3,0
0.4111,0.0002609073778808523,0.001915035870653526,0.006084795836512689,0.001478113665137457,6,0
0.5261,0.01371213219307146,0.002839637010631865,0.019563086006708714,0.004182867974660337,1,0
0.7107000000000001,0.061574141179881144,0.0006596626481976709,0.0002152178591692591,0.005042818875638409,16,0
0.536,0.05519640527612697,0.029214953027207335,0.07608494801075656,0.004059970137161334,1,0
0.6582,0.03035222496013915,0.012944436139571079,0.10869371455155338,0.018784667292510545,2,0
0.6695000000000001,0.04290476880707349,0.038847598163960606,0.1478242344005096,0.005988263924441875,3,0
0.514,0.0019713001884331064,0.001712999415283695,0.05434577031689199,0.0026122469698836846,4,0
0.7303000000000001,0.039368024351355266,0.002992435940765797,0.005432620505696752,0.005412180311165302,1,0
0.6734,0.006261777069140455,0.0050509373786601685,0.012171765590794765,0.004654421633759768,3,0
0.6081000000000001,0.0021162487317002462,0.0032831629438119657,0.0052152287287581065,0.0025568093584031563,6,0
0.6666000000000001,0.029540513117843167,0.00675624655166564,0.04347618146995972,0.007552873621949554,4,0
0.61,0.000840701550949413,1.9997229364820334e-05,0.006519579390389979,0.0011174352289990807,1,0
0.7747,0.04481808957819974,0.05003616941485533,0.03260659262302744,0.005121967754679886,6,0
0.5435,0.002696042904768807,0.0010197878970298012,0.023594651292720203,0.0017168961483216597,1,0
0.58,0.0020292796057399622,1.2264233115560545e-05,0.013041332698549346,0.0014647552045397394,16,0
0.6195,0.006667632990288447,0.007046192012121266,0.03260659262302744,0.003938408145722103,2,0
0.6014,0.011392955500797216,0.0014225101243164878,0.0029326150709023282,0.00519844494160182,16,0
0.6932,0.17231482823597621,0.1536474921393113,0.30434631379633437,0.011041769568558459,9,0
0.53,0.0001739382519205682,0.0023630205299650497,0.0041704047182711266,0.0008135302504010043,8,0
